titulo,vinculo,resumen
b'[LIBRO][B] Chinese culture and mental health',b'https://books.google.com/books?hl=es&lr=&id=1DDIAgAAQBAJ&oi=fnd&pg=PP1&dq=mental+health%0A&ots=-pIqvpWJon&sig=VCxObNQ0jutGB1Cdi3gLEub-d4Y',"b'Chinese Culture and Mental Health presents an in-depth study of the culture and mental health of the Chinese people in varying settings, geographic areas, and times. The book focuses on the study of the relationships between mental health and customs, beliefs, and\xc2\xa0\xe2\x80\xa6'"
b'[LIBRO][B] The mental health of Australians',b'https://www.academia.edu/download/30805599/mhaust.pdf',"b'One can understand how a system operates by seeing where the money goes. The 1996 National Mental Health Report identifies recurrent spending on mental health services in 1995/96 (Figure 1-1). Two billion dollars were expended, about 5% of the total health \xc2\xa0\xe2\x80\xa6'"
b'[HTML][HTML] WPA guidance on mental health and mental health care in migrants',b'https://www.ncbi.nlm.nih.gov/pmc/articles/pmc3048516/',b'The purpose of this guidance is to review currently available evidence on mental health problems in migrants and to present advice to clinicians and policy makers on how to provide migrants with appropriate and accessible mental health services. The three phases\xc2\xa0\xe2\x80\xa6'
b'Lifestyle and mental health.',b'https://escholarship.org/content/qt0786x6tw/qt0786x6tw.pdf',"b'Mental health professionals have significantly underestimated the importance of lifestyle factors (a) as contributors to and treatments for multiple psychopathologies,(b) for fostering individual and social well-being, and (c) for preserving and optimizing cognitive function\xc2\xa0\xe2\x80\xa6'"
b'Why mental health matters to global health',b'http://centroriosaudeglobal.org/wp-content/uploads/2016/08/Patel-2014-Why-mental-health-matters-to-global-health.pdf',"b'Global health has been defined as an area of study, research, and practice that places a priority on improving health and achieving equity in health for all people worldwide. This article provides an overview of some central issues in global mental health in three parts\xc2\xa0\xe2\x80\xa6'"
b'[HTML][HTML] Cities and mental health',b'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5374256/',"b'Background More than half of the global population currently lives in cities, with an increasing trend for further urbanization. Living in cities is associated with increased population density, traffic noise and pollution, but also with better access to health care and\xc2\xa0\xe2\x80\xa6'"
b'Migration and mental health',b'https://www.academia.edu/download/50842080/j.0001-690x.2003.00246.x20161212-28091-1052dwl.pdf',"b""Objective: Migration and its accompanying stressors affect migrating individuals and their families. The process of migration is not simple or straightforward. The aim of this review is to distil existing information on how migration influences individuals' mental state and how it\xc2\xa0\xe2\x80\xa6"""
"b'[LIBRO][B] Work, unemployment, and mental health.'",b'https://psycnet.apa.org/record/1987-98751-000',"b'The principal aim of this book is to propose and apply a broad-ranging model of some environmental determinants of mental health. The features to be considered may be studied in any environment, but particular attention will be paid to the settings of paid work and\xc2\xa0\xe2\x80\xa6'"
b'Forensic mental health',b'https://www.cambridge.org/core/services/aop-cambridge-core/content/view/8FD4191A356F8AD80BB0CBBA3C401EE9/S0007125000264714a.pdf/forensic_mental_health.pdf',"b'What is forensic psychiatry? The name implies a branch of psychiatry connected with, or pursued \nin, courts of law. Other medical spe medical specialities have transcended the cialities have transcended \nthe literal meaning literal meaning of their name; for example, of their name; for example, orthopaedic\xc2\xa0\xe2\x80\xa6'"
b'[PDF][PDF] Mental health and mental disorders\xe2\x80\x94A rural challenge: A literature review',b'https://www.researchgate.net/profile/Larry_Gamm/publication/255683562_Mental_health_and_mental_disorders-a_rural_challenge_A_literature_review/links/55c39e6b08aeb9756740192b.pdf',"b'One Healthy People 2010 goal is to \xe2\x80\x9cimprove mental health and ensure access to appropriate, quality mental health services.\xe2\x80\x9d 5 This review addresses the Healthy People 2010 mental health and mental illness goal\xe2\x80\x94improve mental health and ensure access to\xc2\xa0\xe2\x80\xa6'"
b'[PDF][PDF] Investing in mental health',b'https://apps.who.int/iris/bitstream/handle/10665/42823/9241562579.pdf',"b'The designations employed and the presentation of the material in this publication do not imply the expression of any opinion whatsoever on the part of the World Health Organization concerning the legal status of any country, territory, city or area or of its authorities, or\xc2\xa0\xe2\x80\xa6'"
"b'[LIBRO][B] Space, place and mental health'",b'https://www.taylorfrancis.com/books/mono/10.4324/9781315610160/space-place-mental-health-sarah-curtis',"b'There is a strong case today for a specific focus on mental public health and its relation to social and physical environments. From a public health perspective, we now appreciate the enormous significance of mental distress and illness as causes of disability and impairment\xc2\xa0\xe2\x80\xa6'"
"b""Defining 'mental illness' in mental health policy""",b'https://commed.vcu.edu/IntroPH/MentalHealth/definingMI_may06.pdf',"b'Mental health policy is shaped fundamentally by the definition of mental illness associated with the policy. Changing policies reflect changing definitions. At various times, the definition may be narrow or broad with respect to the scope of conditions covered by a specific policy\xc2\xa0\xe2\x80\xa6'"
b'Minorities and mental health',b'https://www.sciencedirect.com/science/article/pii/027795369390056A',"b'It is argued that minority status, despite some recent evidence to the contrary, is a risk factor for mental ill-health. The evidence reviewed suggests that it is the experience at the local, rather than national, level that is critical. The effect appears to be due to the reduced\xc2\xa0\xe2\x80\xa6'"
b'Resilience and mental health',b'https://www.hal.inserm.fr/docs/00/53/43/25/PDF/Davydov_Clin_Psychol_Rev_30_479.pdf',"b'The relationship between disease and good health has received relatively little attention in mental health. Resilience can be viewed as a defence mechanism, which enables people to thrive in the face of adversity and improving resilience may be an important target for\xc2\xa0\xe2\x80\xa6'"
b'[LIBRO][B] A history of mental health nursing',b'https://books.google.com/books?hl=es&lr=&id=vo46Jqvu_8oC&oi=fnd&pg=PA5&dq=mental+health%0A&ots=n5oWlUr6lv&sig=kL7DN0nPR1AK5_zP9GyCb4QMttU',"b'Psychiatric nursing is traced, in this book, from the role of keeper to mental-health nurse. The language of psychiatry includes lunacy, workhouses, asylums, moral defection, attendants and mental nursing, through to the current emphasis on community mental-health care. The\xc2\xa0\xe2\x80\xa6'"
b'[LIBRO][B] Handbook of infant mental health',b'https://www.researchgate.net/profile/Charles-Zeanah/publication/303365349_The_Scope_of_Infant_Mental_Health/links/573e284708ae9f741b300986/The-Scope-of-Infant-Mental-Health.pdf',b'The definitive reference in the field--now significantly revised with 75% new material--this volume examines typical and atypical development from birth to the preschool years and identifies what works in helping children and families at risk. Foremost experts explore\xc2\xa0\xe2\x80\xa6'
b'[LIBRO][B] An approach to community mental health',b'https://books.google.com/books?hl=es&lr=&id=Baj8AQAAQBAJ&oi=fnd&pg=PP1&dq=mental+health%0A&ots=Hhn6AuofkD&sig=oxei4SSC3tI2bUMhiYeuOCeTX1g',b'Tavistock Press was established as a co-operative venture between the Tavistock Institute and Routledge & Kegan Paul (RKP) in the 1950s to produce a series of major contributions across the social sciences. This volume is part of a 2001 reissue of a selection of those\xc2\xa0\xe2\x80\xa6'
b'[LIBRO][B] Mental health and inequality',b'https://books.google.com/books?hl=es&lr=&id=y80cBQAAQBAJ&oi=fnd&pg=PP1&dq=mental+health%0A&ots=hjEU-KpjH6&sig=jWXEHa4EVTUpF9pH9p9_BpXIYEI',"b'This text, by a well regarded writing team, examines the relationship between the knowledge base of mental health professionals, evidence about inequalities and mental health service utilisation. Starting with a critical appraisal of traditional psychiatric epidemiology, it moves\xc2\xa0\xe2\x80\xa6'"
b'[LIBRO][B] Occupational therapy and mental health',b'https://books.google.com/books?hl=es&lr=&id=4YnQAQAAQBAJ&oi=fnd&pg=PP1&dq=mental+health%0A&ots=Nzw2b1MwkO&sig=_GUSv-GOagVMH9m_hV_HpPdURJM',"b'This book is a comprehensive textbook for occupational therapy students and occupational therapists working in the field of mental health. It presents different theories and approaches, outlines the occupational therapy process, discusses the context of practice and describes a\xc2\xa0\xe2\x80\xa6'"
b'Mental health screening in schools',"b'/scholar?output=instlink&q=info:r7pcpmAEJz8J:scholar.google.com/&hl=es&as_sdt=0,10&scillfp=15279992694649170145&oi=lle'",b'Background: This article discusses the importance of screening students in schools for emotional/behavioral problems. Methods: Elements relevant to planning and implementing effective mental health screening in schools are considered. Screening in schools is linked\xc2\xa0\xe2\x80\xa6'
b'Health status and the use of outpatient mental health services.',b'https://psycnet.apa.org/record/1985-28883-001',"b""Investigated the effects of mental health status\xe2\x80\x94self-reported psychological distress and psychological well-being\xe2\x80\x94on the use of outpatient mental health services, based on mental health data from the Rand Corporation's Health Insurance Survey. Results reveal that\xc2\xa0\xe2\x80\xa6"""
"b'[LIBRO][B] Mental health, United States, 1996'",b'https://books.google.com/books?hl=es&lr=&id=1T45Y-QajzMC&oi=fnd&pg=PR3&dq=mental+health%0A&ots=H36_qVG9TI&sig=DM4WtiNkuvliQ5gUAGTx0qhImEk',"b'Provides summaries of statistical information on topics that will be of concern in health care. Chapters on managed care include policy considerations, lessons learned from behavioral managed care approaches, the status of managed behavioral health care in America, &\xc2\xa0\xe2\x80\xa6'"
b'Social capital and mental health',b'https://www.cambridge.org/core/services/aop-cambridge-core/content/view/88128FEE4234566CCD6EBFF47E324001/S0007125000027525a.pdf/div-class-title-social-capital-and-mental-health-div.pdf',"b'Evidence for inequalities in morbidity and mortality by occupational social class and material \nstandard of living has become irrefutable (Acheson, has become irrefutable (Acheson, \n1998). Attention has now turned to 1998). Attention has now turned to the effects of social context\xc2\xa0\xe2\x80\xa6'"
b'Schooling and mental health',b'https://link.springer.com/chapter/10.1007/978-1-4615-4163-9_8',"b""Schools hold a central place in the \xe2\x80\x9cdevelopmental agenda\xe2\x80\x9d set forth for children and adolescents throughout the world (Rogoff, 1990; Sameroff, 1987). 1 Children's experiences in school have the capacity to promote developmental competencies associated with\xc2\xa0\xe2\x80\xa6"""
b'[LIBRO][B] Handbook of religion and mental health',b'https://books.google.com/books?hl=es&lr=&id=504GYYj1O3kC&oi=fnd&pg=PP1&dq=mental+health%0A&ots=ZX4qQw8wap&sig=US2hZCCscXpeqeNlxN5BYm1uy2Y',"b'The Handbook of Religion and Mental Health is a useful resource for mental health professionals, religious professionals, and counselors. The book describes how religious beliefs and practices relate to mental health and influence mental health care. It presents\xc2\xa0\xe2\x80\xa6'"
b'Mental health literacy: Public knowledge and beliefs about mental disorders',b'https://www.cambridge.org/core/services/aop-cambridge-core/content/view/5563369643662EC541F33D1DD307AD35/S000712500022730Xa.pdf/mental_health_literacy.pdf',"b'Background Although the benefits of public knowledge of physical diseases are widely accepted, knowledge about mental disorders (mental health literacy) has been comparatively neglected. Aims To introduce the concept of mental health literacy to a wider\xc2\xa0\xe2\x80\xa6'"
b'[LIBRO][B] Measuring mental health needs.',b'https://psycnet.apa.org/record/1993-97144-000',"b""What are needs for mental health services, and how can they be measured? This book describes clearly the different approaches that can be taken to these vital questions. It examines both individual, or'bottom up,'and population, or'top down,'methods of assessing\xc2\xa0\xe2\x80\xa6"""
b'The mental health of farmers',b'https://academic.oup.com/occmed/article-pdf/52/8/471/4207139/520471.pdf',"b'Farmers are subject to a number of unique occupational stressors, many of which have been aggravated in recent years by changes in farming practice and by economic factors. These are probably part of the explanation for the high rates of suicide in farmers and farm workers\xc2\xa0\xe2\x80\xa6'"
b'Emotion regulation and mental health',b'https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1468-2850.1995.tb00036.x',"b'In this article, we argue that emotion regulation is an essential (and traditionally underemphasized) feature of mental health. To develop this idea, we first define the terms emotion, emotion regulation, and mental health. We then chart the development of emotion\xc2\xa0\xe2\x80\xa6'"
b'Motherhood and mental health',b'https://www.tandfonline.com/doi/pdf/10.1080/13698039908400552',"b""This is a very important book, and a sort of bible in the field of infant psychiatry. In fact, Ian Brockington's \nachievement is the first handbook on the subject, writ- ten by a prominent figure in the field. It \nis a very clinical work, written in a clear and lively style, and a very personal one, very far from\xc2\xa0\xe2\x80\xa6"""
b'Mental illness and/or mental health? Investigating axioms of the complete state model of health.',"b'https://contextualscience.org/system/files/Keyes,2005.pdf'","b'A continuous assessment and a categorical diagnosis of the presence (ie, flourishing) and the absence (ie, languishing) of mental health were proposed and applied to the Midlife in the United States study data, a nationally representative sample of adults between the ages\xc2\xa0\xe2\x80\xa6'"
b'Hardiness and mental health',"b'/scholar?output=instlink&q=info:8CZVEg6dsHsJ:scholar.google.com/&hl=es&as_sdt=0,10&scillfp=7806177923485833505&oi=lle'","b'Previous theorizing and construct-validational research suggest that hardiness expresses psychological vitality and enhanced performance. Now that there is a psychometrically adequate, short measure of hardiness, it is worthwhile to investigate whether it is a quick\xc2\xa0\xe2\x80\xa6'"
b'Work and mental health',b'https://www.researchgate.net/profile/Kay_Wilhelm2/publication/8178456_Work_and_mental_health/links/0912f506c18c6d5004000000.pdf',"b'Background: Studies investigating the psychological correlates of types of occupation have focused on such disorders as stress, depression, suicide and substance abuse. There have also been some models proposed to allow understanding of factors common to different\xc2\xa0\xe2\x80\xa6'"
b'Toward a science of mental health',b'http://www.ldysinger.com/@books1/Snyder_Hndbk_Positive_Psych/Snyder_Lopez_Handbook_of_Positive_Psychology.pdf#page=64',"b'The science of mental illness diagnosis and its treatment has taken shape over the last half of the 20th century (see US Department of Health and Human Services, 1995). Sophisticated talk and drug therapies are now available to treat many mental illnesses. Most\xc2\xa0\xe2\x80\xa6'"
b'Mental health in migrant children',b'https://acamh.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-7610.2007.01848.x',"b'Many factors have been identified to explain differences in mental health problems between migrant and native children: the process of migration, the ethnic minority position of migrants, their specific cultural background and the selection of migrants. In this paper, the\xc2\xa0\xe2\x80\xa6'"
b'[PDF][PDF] Gender and mental health',b'https://apps.who.int/iris/bitstream/handle/10665/68884/a85573.pdf',"b't ent ly more common among wom en than men, ac cord ing to a 1999 study covering sites in nine countries. Comorbidity\xe2\x80\x93the occurrence of more than one disor der concurrently\xe2\x80\x93is associated with increased se ver i ty of mental illness and higher levels of disability. Recent\xc2\xa0\xe2\x80\xa6'"
b'Exercise and mental health',b'https://www.sciencedirect.com/science/article/pii/S0378512217308563',"b'There is a growing body of literature that recognizes the positive effects of exercise on mood states such as anxiety, stress and depression, through physiological and biochemical mechanisms, including endorphins, mitochondria, mammalian target of rapamycin\xc2\xa0\xe2\x80\xa6'"
b'[LIBRO][B] Aging and mental health.',b'https://psycnet.apa.org/record/1999-02003-000',b'Provides an introduction to and overview of aging and mental health. The book offers a detailed and comprehensive discussion of the reigning theoretical models of mental health and their application to later life. These discussions are supplemented by case material. The\xc2\xa0\xe2\x80\xa6'
"b""Transformation of children's mental health services: The role of school mental health""",b'https://ps.psychiatryonline.org/doi/pdf/10.1176/ps.2007.58.10.1330',"b""The New Freedom Commission has called for a transformation in the delivery of mental health services in this country. The commission's report and recommendations have highlighted the role of school mental health services in transforming mental health care for\xc2\xa0\xe2\x80\xa6"""
b'Mental health: On the spectrum',b'http://www.ganesha-associates.com/coursetwo/Practical_exercises/1_Research_practicals/4_Naming/Naming%20disease.pdf',"b'David Kupfer is a modern-day heretic. A psychiatrist at the University of Pittsburgh in Pennsylvania, Kupfer, has spent the past six years directing the revision of a book commonly referred to as the bible of the psychiatric field. The work will reach a climax next month when\xc2\xa0\xe2\x80\xa6'"
b'Mental health of the elderly: use of health and mental health services',b'https://agsjournals.onlinelibrary.wiley.com/doi/abs/10.1111/j.1532-5415.1985.tb07111.x',"b'The utilization of services by older patients with mental morbidity is examined in this paper. The population is drawn from a large, multi\xe2\x80\x90site study, the Epidemiological Catchment Area studies, and reports on the findings from the Baltimore, Maryland, site, The Eastern\xc2\xa0\xe2\x80\xa6'"
